Date;Dernier;Ouv.; Plus Haut;Plus Bas;Vol.;Variation %
09/08/2024;266,48;267;270,51;265,66;572,47K;-0,82%
08/08/2024;268,68;257,75;269,15;256;3,23M;7,34%
07/08/2024;250,31;267,71;271;250,06;2,48M;-3,65%
06/08/2024;259,8;259,44;265,04;252,61;4,75M;5,25%
05/08/2024;246,84;249,44;250,68;241,29;4,29M;-1,12%
02/08/2024;249,63;253,31;257;241,45;4,74M;-4,29%
01/08/2024;260,81;266,24;270,92;258,9;2,87M;-2,56%
31/07/2024;267,66;264,17;269,52;261,79;4,15M;5,75%
30/07/2024;253,11;258,94;260,76;250,84;2,86M;-2,29%
29/07/2024;259,05;260,49;264,81;258,6;1,51M;0,10%
26/07/2024;258,79;263,04;264,55;257,78;2,61M;0,16%
25/07/2024;258,38;267;268,93;258,16;3,48M;-2,99%
24/07/2024;266,34;280,05;281,03;265,77;3,09M;-5,88%
23/07/2024;282,99;285,86;291,83;280,77;3,34M;-1,42%
22/07/2024;287,08;283,62;289,09;282,73;3,26M;2,55%
19/07/2024;279,95;280,83;280,83;276,17;2,61M;0,76%
18/07/2024;277,83;289,36;289,46;273,17;4,13M;-3,57%
17/07/2024;288,12;305,41;305,5;287,83;3,56M;-7,57%
16/07/2024;311,73;317,24;317,54;310,1;1,33M;-1,24%
15/07/2024;315,63;314,57;317;313,23;1,08M;-0,01%
12/07/2024;315,67;313,09;319,46;311,25;1,10M;0,51%
11/07/2024;314,07;320;321,68;313,9;1,37M;-1,79%
10/07/2024;319,8;315,21;320,34;313,9;1,22M;1,44%
09/07/2024;315,26;319,44;319,89;313,43;822,58K;-0,66%
08/07/2024;317,36;320;322;317;1,01M;-1,17%
05/07/2024;321,11;315,37;322,28;313,6;1,13M;1,79%
03/07/2024;315,47;315,11;318,83;314,64;673,15K;-0,41%
02/07/2024;316,78;314,06;317,28;310,98;1,33M;1,88%
01/07/2024;310,92;307,75;311,98;304,12;1,33M;1,03%
28/06/2024;307,75;308,46;313;307,47;2,31M;-0,06%
27/06/2024;307,92;311,44;313,37;307,65;1,43M;-0,46%
26/06/2024;309,33;310,03;312,22;308,38;1,15M;-0,71%
25/06/2024;311,53;310;311,75;307,1;1,30M;0,77%
24/06/2024;309,14;317,52;317,52;309,14;1,40M;-2,91%
21/06/2024;318,39;319,43;319,53;313,72;2,71M;-0,04%
20/06/2024;318,53;328,79;328,99;317,61;1,72M;-2,44%
18/06/2024;326,5;320,39;327,11;320,39;2,42M;1,37%
17/06/2024;322,08;310,48;323,25;310,48;2,25M;3,20%
14/06/2024;312,1;309,09;312,58;307,05;1,43M;1,48%
13/06/2024;307,54;312,59;316,92;304,7;1,56M;-1,33%
12/06/2024;311,7;305,72;312,74;303,8;2,14M;3,61%
11/06/2024;300,83;295;301,98;294,52;1,60M;1,57%
10/06/2024;296,18;293,73;296,43;292,22;934,21K;0,60%
07/06/2024;294,42;297,33;299,4;293,56;997,25K;-0,45%
06/06/2024;295,74;296,77;299,08;295,07;1,24M;-0,23%
05/06/2024;296,42;287,99;297,13;287,43;1,89M;3,24%
04/06/2024;287,13;288,38;289,84;283,75;1,14M;0,34%
03/06/2024;286,15;287,31;289,67;281,26;1,27M;-0,06%
31/05/2024;286,31;287,67;289,57;279,02;3,48M;-0,67%
30/05/2024;288,25;290,5;290,5;287,38;2,12M;-1,18%
29/05/2024;291,7;291,79;293,01;288,44;1,78M;-1,52%
28/05/2024;296,21;293,07;297,91;293,07;1,48M;0,66%
