Date;Dernier;Ouv.; Plus Haut;Plus Bas;Vol.;Variation %
09/08/2024;515,61;512,28;523,08;512,28;279,89K;0,11%
08/08/2024;515,03;504,4;518,13;493,71;1,11M;5,11%
07/08/2024;489,97;513,2;520,98;488,45;1,90M;-1,89%
06/08/2024;499,39;500;510,55;487,87;1,49M;2,37%
05/08/2024;487,84;475;495;474,57;2,05M;-3,55%
02/08/2024;505,78;504;515,4;483,7;2,84M;-6,45%
01/08/2024;540,67;556,04;569;534,02;1,37M;-3,16%
31/07/2024;558,32;552,99;560,82;548,15;1,13M;6,17%
30/07/2024;525,89;551,56;552,08;522,19;1,25M;-3,95%
29/07/2024;547,52;550,25;555,13;544,14;490,68K;0,21%
26/07/2024;546,38;548,36;555,41;543,37;677,58K;1,42%
25/07/2024;538,72;556,45;557,88;537,09;1,28M;-2,64%
24/07/2024;553,33;576,02;583,1;551,12;1,03M;-5,95%
23/07/2024;588,33;581,37;593,98;581,37;708,88K;0,11%
22/07/2024;587,71;573;589,05;571,44;1,08M;4,37%
19/07/2024;563,12;565,71;568,45;558,06;981,90K;0,49%
18/07/2024;560,38;576,3;576,3;546,86;1,20M;-1,75%
17/07/2024;570,38;604,35;604,83;569,3;1,41M;-6,95%
16/07/2024;613,01;619,39;620,43;609,18;473,52K;-0,49%
15/07/2024;616,01;612,56;621,24;612,38;494,21K;0,32%
12/07/2024;614,05;606,85;620,33;604,62;505,05K;0,87%
11/07/2024;608,74;620;624,8;606,98;553,94K;-1,75%
10/07/2024;619,56;609,15;621,01;603,12;691,40K;1,91%
09/07/2024;607,94;616,4;616,55;603,34;466,54K;-1,23%
08/07/2024;615,49;621,65;622;611,41;559,60K;-0,94%
05/07/2024;621,3;611,9;622,79;609,05;946,15K;2,36%
03/07/2024;606,99;609;612,9;606,04;491,51K;-0,44%
02/07/2024;609,66;601,42;610,64;600,57;531,53K;1,31%
01/07/2024;601,75;594,79;604,44;588,83;613,06K;1,12%
28/06/2024;595,06;596,82;608,16;593,9;1,02M;0,01%
27/06/2024;595;600,31;606,41;593,89;594,52K;-0,59%
26/06/2024;598,52;597,44;601,79;594,26;559,10K;-0,27%
25/06/2024;600,14;597,69;600,51;593,67;764,11K;0,76%
